Serial Floating Division: 1-bit sign, 8-bit exponent, and 23-bit mantissa with 19909 cycles and 139 cells total.
Supports only signed numbers.

Inputs:
	 xs (1-bit): 0 
T2786:	127 = NOR(137, 136)
T2787:	132 = INIT1
T2788:	132 = NOR(134, 135)
T2789:	134 = INIT1
T2790:	134 = NOT(43)
T2791:	135 = INIT1
T2792:	135 = NOR(43, 93)
T2793:	136 = INIT1
T2794:	136 = NOR(134, 129)
T2795:	133 = INIT1
T2796:	133 = NOR(135, 136)
T2797:	134 = INIT1
T2798:	134 = NOR(128, 133)
T2799:	135 = INIT1
T2800:	135 = NOR(128, 134)
T2801:	136 = INIT1
T2802:	136 = NOR(133, 134)
T2803:	137 = INIT1
T2804:	137 = NOR(135, 136)
T2805:	135 = INIT1
T2806:	135 = NOR(137, 132)
T2807:	136 = INIT1
T2808:	136 = NOR(135, 137)
T2809:	137 = INIT1
T2810:	137 = NOR(135, 132)
T2811:	128 = INIT1
T2812:	128 = NOR(137, 136)
T2813:	132 = INIT1
T2814:	132 = NOR(134, 135)
T2815:	134 = INIT1
T2816:	134 = NOT(44)
T2817:	135 = INIT1
T2818:	135 = NOR(44, 93)
T2819:	136 = INIT1
T2820:	136 = NOR(134, 129)
T2821:	133 = INIT1
T2822:	133 = NOR(135, 136)
T2823:	134 = INIT1
T2824:	134 = NOR(130, 133)
T2825:	135 = INIT1
T2826:	135 = NOR(130, 134)
T2827:	136 = INIT1
T2828:	136 = NOR(133, 134)
T2829:	137 = INIT1
T2830:	137 = NOR(135, 136)
T2831:	135 = INIT1
T2832:	135 = NOR(137, 132)
T2833:	136 = INIT1
T2834:	136 = NOR(135, 137)
T2835:	137 = INIT1
T2836:	137 = NOR(135, 132)
T2837:	130 = INIT1
T2838:	130 = NOR(137, 136)
T2839:	132 = INIT1
T2840:	132 = NOR(134, 135)
T2841:	134 = INIT1
T2842:	134 = NOT(45)
T2843:	135 = INIT1
T2844:	135 = NOR(45, 93)
T2845:	136 = INIT1
T2846:	136 = NOR(134, 129)
T2847:	133 = INIT1
T2848:	133 = NOR(135, 136)
T2849:	134 = INIT1
T2850:	134 = NOR(131, 133)
T2851:	135 = INIT1
T2852:	135 = NOR(131, 134)
T2853:	136 = INIT1
T2854:	136 = NOR(133, 134)
T2855:	137 = INIT1
T2856:	137 = NOR(135, 136)
T2857:	135 = INIT1
T2858:	135 = NOR(137, 132)
T2859:	136 = INIT1
T2860:	136 = NOR(135, 137)
T2861:	137 = INIT1
T2862:	137 = NOR(135, 132)
T2863:	131 = INIT1
T2864:	131 = NOR(137, 136)
T2865:	132 = INIT1
T2866:	132 = NOR(134, 135)
T2867:	134 = INIT1
T2868:	134 = NOT(46)
T2869:	135 = INIT1
T2870:	135 = NOR(46, 93)
T2871:	136 = INIT1
T2872:	136 = NOR(134, 129)
T2873:	133 = INIT1
T2874:	133 = NOR(135, 136)
T2875:	134 = INIT1
T2876:	134 = NOR(103, 133)
T2877:	135 = INIT1
T2878:	135 = NOR(103, 134)
T2879:	136 = INIT1
T2880:	136 = NOR(133, 134)
T2881:	137 = INIT1
T2882:	137 = NOR(135, 136)
T2883:	135 = INIT1
T2884:	135 = NOR(137, 132)
T2885:	136 = INIT1
T2886:	136 = NOR(135, 137)
T2887:	137 = INIT1
T2888:	137 = NOR(135, 132)
T2889:	103 = INIT1
T2890:	103 = NOR(137, 136)
T2891:	132 = INIT1
T2892:	132 = NOR(134, 135)
T2893:	134 = INIT1
T2894:	134 = NOT(47)
T2895:	135 = INIT1
T2896:	135 = NOR(47, 93)
T2897:	136 = INIT1
T2898:	136 = NOR(134, 129)
T2899:	133 = INIT1
T2900:	133 = NOR(135, 136)
T2901:	134 = INIT1
T2902:	134 = NOR(104, 133)
T2903:	135 = INIT1
T2904:	135 = NOR(104, 134)
T2905:	136 = INIT1
T2906:	136 = NOR(133, 134)
T2907:	137 = INIT1
T2908:	137 = NOR(135, 136)
T2909:	135 = INIT1
T2910:	135 = NOR(137, 132)
T2911:	136 = INIT1
T2912:	136 = NOR(135, 137)
T2913:	137 = INIT1
T2914:	137 = NOR(135, 132)
T2915:	104 = INIT1
T2916:	104 = NOR(137, 136)
T2917:	132 = INIT1
T2918:	132 = NOR(134, 135)
T2919:	134 = INIT1
T2920:	134 = NOT(48)
T2921:	135 = INIT1
T2922:	135 = NOR(48, 93)
T2923:	136 = INIT1
T2924:	136 = NOR(134, 129)
T2925:	133 = INIT1
T2926:	133 = NOR(135, 136)
T2927:	134 = INIT1
T2928:	134 = NOR(105, 133)
T2929:	135 = INIT1
T2930:	135 = NOR(105, 134)
T2931:	136 = INIT1
T2932:	136 = NOR(133, 134)
T2933:	137 = INIT1
T2934:	137 = NOR(135, 136)
T2935:	135 = INIT1
T2936:	135 = NOR(137, 132)
T2937:	136 = INIT1
T2938:	136 = NOR(135, 137)
T2939:	137 = INIT1
T2940:	137 = NOR(135, 132)
T2941:	105 = INIT1
T2942:	105 = NOR(137, 136)
T2943:	132 = INIT1
T2944:	132 = NOR(134, 135)
T2945:	134 = INIT1
T2946:	134 = NOT(49)
T2947:	135 = INIT1
T2948:	135 = NOR(49, 93)
T2949:	136 = INIT1
T2950:	136 = NOR(134, 129)
T2951:	133 = INIT1
T2952:	133 = NOR(135, 136)
T2953:	134 = INIT1
T2954:	134 = NOR(106, 133)
T2955:	135 = INIT1
T2956:	135 = NOR(106, 134)
T2957:	136 = INIT1
T2958:	136 = NOR(133, 134)
T2959:	137 = INIT1
T2960:	137 = NOR(135, 136)
T2961:	135 = INIT1
T2962:	135 = NOR(137, 132)
T2963:	136 = INIT1
T2964:	136 = NOR(135, 137)
T2965:	137 = INIT1
T2966:	137 = NOR(135, 132)
T2967:	106 = INIT1
T2968:	106 = NOR(137, 136)
T2969:	132 = INIT1
T2970:	132 = NOR(134, 135)
T2971:	134 = INIT1
T2972:	134 = NOT(50)
T2973:	135 = INIT1
T2974:	135 = NOR(50, 93)
T2975:	136 = INIT1
T2976:	136 = NOR(134, 129)
T2977:	133 = INIT1
T2978:	133 = NOR(135, 136)
T2979:	134 = INIT1
T2980:	134 = NOR(107, 133)
T2981:	135 = INIT1
T2982:	135 = NOR(107, 134)
T2983:	136 = INIT1
T2984:	136 = NOR(133, 134)
T2985:	137 = INIT1
T2986:	137 = NOR(135, 136)
T2987:	135 = INIT1
T2988:	135 = NOR(137, 132)
T2989:	136 = INIT1
T2990:	136 = NOR(135, 137)
T2991:	137 = INIT1
T2992:	137 = NOR(135, 132)
T2993:	107 = INIT1
T2994:	107 = NOR(137, 136)
T2995:	132 = INIT1
T2996:	132 = NOR(134, 135)
T2997:	134 = INIT1
T2998:	134 = NOT(51)
T2999:	135 = INIT1
T3000:	135 = NOR(51, 93)
T3001:	136 = INIT1
T3002:	136 = NOR(134, 129)
T3003:	133 = INIT1
T3004:	133 = NOR(135, 136)
T3005:	134 = INIT1
T3006:	134 = NOR(108, 133)
T3007:	135 = INIT1
T3008:	135 = NOR(108, 134)
T3009:	136 = INIT1
T3010:	136 = NOR(133, 134)
T3011:	137 = INIT1
T3012:	137 = NOR(135, 136)
T3013:	135 = INIT1
T3014:	135 = NOR(137, 132)
T3015:	136 = INIT1
T3016:	136 = NOR(135, 137)
T3017:	137 = INIT1
T3018:	137 = NOR(135, 132)
T3019:	108 = INIT1
T3020:	108 = NOR(137, 136)
T3021:	132 = INIT1
T3022:	132 = NOR(134, 135)
T3023:	134 = INIT1
T3024:	134 = NOT(52)
T3025:	135 = INIT1
T3026:	135 = NOR(52, 93)
T3027:	136 = INIT1
T3028:	136 = NOR(134, 129)
T3029:	133 = INIT1
T3030:	133 = NOR(135, 136)
T3031:	134 = INIT1
T3032:	134 = NOR(109, 133)
T3033:	135 = INIT1
T3034:	135 = NOR(109, 134)
T3035:	136 = INIT1
T3036:	136 = NOR(133, 134)
T3037:	137 = INIT1
T3038:	137 = NOR(135, 136)
T3039:	135 = INIT1
T3040:	135 = NOR(137, 132)
T3041:	136 = INIT1
T3042:	136 = NOR(135, 137)
T3043:	137 = INIT1
T3044:	137 = NOR(135, 132)
T3045:	109 = INIT1
T3046:	109 = NOR(137, 136)
T3047:	132 = INIT1
T3048:	132 = NOR(134, 135)
T3049:	134 = INIT1
T3050:	134 = NOT(53)
T3051:	135 = INIT1
T3052:	135 = NOR(53, 93)
T3053:	136 = INIT1
T3054:	136 = NOR(134, 129)
T3055:	133 = INIT1
T3056:	133 = NOR(135, 136)
T3057:	134 = INIT1
T3058:	134 = NOR(110, 133)
T3059:	135 = INIT1
T3060:	135 = NOR(110, 134)
T3061:	136 = INIT1
T3062:	136 = NOR(133, 134)
T3063:	137 = INIT1
T3064:	137 = NOR(135, 136)
T3065:	135 = INIT1
T3066:	135 = NOR(137, 132)
T3067:	136 = INIT1
T3068:	136 = NOR(135, 137)
T3069:	137 = INIT1
T3070:	137 = NOR(135, 132)
T3071:	110 = INIT1
T3072:	110 = NOR(137, 136)
T3073:	132 = INIT1
T3074:	132 = NOR(134, 135)
T3075:	134 = INIT1
T3076:	134 = NOT(54)
T3077:	135 = INIT1
T3078:	135 = NOR(54, 93)
T3079:	136 = INIT1
T3080:	136 = NOR(134, 129)
T3081:	133 = INIT1
T3082:	133 = NOR(135, 136)
T3083:	134 = INIT1
T3084:	134 = NOR(111, 133)
T3085:	135 = INIT1
T3086:	135 = NOR(111, 134)
T3087:	136 = INIT1
T3088:	136 = NOR(133, 134)
T3089:	137 = INIT1
T3090:	137 = NOR(135, 136)
T3091:	135 = INIT1
T3092:	135 = NOR(137, 132)
T3093:	136 = INIT1
T3094:	136 = NOR(135, 137)
T3095:	137 = INIT1
T3096:	137 = NOR(135, 132)
T3097:	111 = INIT1
T3098:	111 = NOR(137, 136)
T3099:	132 = INIT1
T3100:	132 = NOR(134, 135)
T3101:	134 = INIT1
T3102:	134 = NOT(55)
T3103:	135 = INIT1
T3104:	135 = NOR(55, 93)
T3105:	136 = INIT1
T3106:	136 = NOR(134, 129)
T3107:	133 = INIT1
T3108:	133 = NOR(135, 136)
T3109:	134 = INIT1
T3110:	134 = NOR(112, 133)
T3111:	135 = INIT1
T3112:	135 = NOR(112, 134)
T3113:	136 = INIT1
T3114:	136 = NOR(133, 134)
T3115:	137 = INIT1
T3116:	137 = NOR(135, 136)
T3117:	135 = INIT1
T3118:	135 = NOR(137, 132)
T3119:	136 = INIT1
T3120:	136 = NOR(135, 137)
T3121:	137 = INIT1
T3122:	137 = NOR(135, 132)
T3123:	112 = INIT1
T3124:	112 = NOR(137, 136)
T3125:	132 = INIT1
T3126:	132 = NOR(134, 135)
T3127:	134 = INIT1
T3128:	134 = NOT(56)
T3129:	135 = INIT1
T3130:	135 = NOR(56, 93)
T3131:	136 = INIT1
T3132:	136 = NOR(134, 129)
T3133:	133 = INIT1
T3134:	133 = NOR(135, 136)
T3135:	134 = INIT1
T3136:	134 = NOR(113, 133)
T3137:	135 = INIT1
T3138:	135 = NOR(113, 134)
T3139:	136 = INIT1
T3140:	136 = NOR(133, 134)
T3141:	137 = INIT1
T3142:	137 = NOR(135, 136)
T3143:	135 = INIT1
T3144:	135 = NOR(137, 132)
T3145:	136 = INIT1
T3146:	136 = NOR(135, 137)
T3147:	137 = INIT1
T3148:	137 = NOR(135, 132)
T3149:	113 = INIT1
T3150:	113 = NOR(137, 136)
T3151:	132 = INIT1
T3152:	132 = NOR(134, 135)
T3153:	134 = INIT1
T3154:	134 = NOT(57)
T3155:	135 = INIT1
T3156:	135 = NOR(57, 93)
T3157:	136 = INIT1
T3158:	136 = NOR(134, 129)
T3159:	133 = INIT1
T3160:	133 = NOR(135, 136)
T3161:	134 = INIT1
T3162:	134 = NOR(114, 133)
T3163:	135 = INIT1
T3164:	135 = NOR(114, 134)
T3165:	136 = INIT1
T3166:	136 = NOR(133, 134)
T3167:	137 = INIT1
T3168:	137 = NOR(135, 136)
T3169:	135 = INIT1
T3170:	135 = NOR(137, 132)
T3171:	136 = INIT1
T3172:	136 = NOR(135, 137)
T3173:	137 = INIT1
T3174:	137 = NOR(135, 132)
T3175:	114 = INIT1
T3176:	114 = NOR(137, 136)
T3177:	132 = INIT1
T3178:	132 = NOR(134, 135)
T3179:	134 = INIT1
T3180:	134 = NOT(58)
T3181:	135 = INIT1
T3182:	135 = NOR(58, 93)
T3183:	136 = INIT1
T3184:	136 = NOR(134, 129)
T3185:	133 = INIT1
T3186:	133 = NOR(135, 136)
T3187:	134 = INIT1
T3188:	134 = NOR(115, 133)
T3189:	135 = INIT1
T3190:	135 = NOR(115, 134)
T3191:	136 = INIT1
T3192:	136 = NOR(133, 134)
T3193:	137 = INIT1
T3194:	137 = NOR(135, 136)
T3195:	135 = INIT1
T3196:	135 = NOR(137, 132)
T3197:	136 = INIT1
T3198:	136 = NOR(135, 137)
T3199:	137 = INIT1
T3200:	137 = NOR(135, 132)
T3201:	115 = INIT1
T3202:	115 = NOR(137, 136)
T3203:	132 = INIT1
T3204:	132 = NOR(134, 135)
T3205:	134 = INIT1
T3206:	134 = NOT(59)
T3207:	135 = INIT1
T3208:	135 = NOR(59, 93)
T3209:	136 = INIT1
T3210:	136 = NOR(134, 129)
T3211:	133 = INIT1
T3212:	133 = NOR(135, 136)
T3213:	134 = INIT1
T3214:	134 = NOR(116, 133)
T3215:	135 = INIT1
T3216:	135 = NOR(116, 134)
T3217:	136 = INIT1
T3218:	136 = NOR(133, 134)
T3219:	137 = INIT1
T3220:	137 = NOR(135, 136)
T3221:	135 = INIT1
T3222:	135 = NOR(137, 132)
T3223:	136 = INIT1
T3224:	136 = NOR(135, 137)
T3225:	137 = INIT1
T3226:	137 = NOR(135, 132)
T3227:	116 = INIT1
T3228:	116 = NOR(137, 136)
T3229:	132 = INIT1
T3230:	132 = NOR(134, 135)
T3231:	134 = INIT1
T3232:	134 = NOT(60)
T3233:	135 = INIT1
T3234:	135 = NOR(60, 93)
T3235:	136 = INIT1
T3236:	136 = NOR(134, 129)
T3237:	133 = INIT1
T3238:	133 = NOR(135, 136)
T3239:	134 = INIT1
T3240:	134 = NOR(117, 133)
T3241:	135 = INIT1
T3242:	135 = NOR(117, 134)
T3243:	136 = INIT1
T3244:	136 = NOR(133, 134)
T3245:	137 = INIT1
T3246:	137 = NOR(135, 136)
T3247:	135 = INIT1
T3248:	135 = NOR(137, 132)
T3249:	136 = INIT1
T3250:	136 = NOR(135, 137)
T3251:	137 = INIT1
T3252:	137 = NOR(135, 132)
T3253:	117 = INIT1
T3254:	117 = NOR(137, 136)
T3255:	132 = INIT1
T3256:	132 = NOR(134, 135)
T3257:	134 = INIT1
T3258:	134 = NOT(61)
T3259:	135 = INIT1
T3260:	135 = NOR(61, 93)
T3261:	136 = INIT1
T3262:	136 = NOR(134, 129)
T3263:	133 = INIT1
T3264:	133 = NOR(135, 136)
T3265:	134 = INIT1
T3266:	134 = NOR(118, 133)
T3267:	135 = INIT1
T3268:	135 = NOR(118, 134)
T3269:	136 = INIT1
T3270:	136 = NOR(133, 134)
T3271:	137 = INIT1
T3272:	137 = NOR(135, 136)
T3273:	135 = INIT1
T3274:	135 = NOR(137, 132)
T3275:	136 = INIT1
T3276:	136 = NOR(135, 137)
T3277:	137 = INIT1
T3278:	137 = NOR(135, 132)
T3279:	118 = INIT1
T3280:	118 = NOR(137, 136)
T3281:	132 = INIT1
T3282:	132 = NOR(134, 135)
T3283:	134 = INIT1
T3284:	134 = NOT(62)
T3285:	135 = INIT1
T3286:	135 = NOR(62, 93)
T3287:	136 = INIT1
T3288:	136 = NOR(134, 129)
T3289:	133 = INIT1
T3290:	133 = NOR(135, 136)
T3291:	134 = INIT1
T3292:	134 = NOR(119, 133)
T3293:	135 = INIT1
T3294:	135 = NOR(119, 134)
T3295:	136 = INIT1
T3296:	136 = NOR(133, 134)
T3297:	137 = INIT1
T3298:	137 = NOR(135, 136)
T3299:	135 = INIT1
T3300:	135 = NOR(137, 132)
T3301:	136 = INIT1
T3302:	136 = NOR(135, 137)
T3303:	137 = INIT1
T3304:	137 = NOR(135, 132)
T3305:	119 = INIT1
T3306:	119 = NOR(137, 136)
T3307:	132 = INIT1
T3308:	132 = NOR(134, 135)
T3309:	134 = INIT1
T3310:	134 = NOT(63)
T3311:	135 = INIT1
T3312:	135 = NOR(63, 93)
T3313:	136 = INIT1
T3314:	136 = NOR(134, 129)
T3315:	133 = INIT1
T3316:	133 = NOR(135, 136)
T3317:	134 = INIT1
T3318:	134 = NOR(120, 133)
T3319:	135 = INIT1
T3320:	135 = NOR(120, 134)
T3321:	136 = INIT1
T3322:	136 = NOR(133, 134)
T3323:	137 = INIT1
T3324:	137 = NOR(135, 136)
T3325:	135 = INIT1
T3326:	135 = NOR(137, 132)
T3327:	136 = INIT1
T3328:	136 = NOR(135, 137)
T3329:	137 = INIT1
T3330:	137 = NOR(135, 132)
T3331:	120 = INIT1
T3332:	120 = NOR(137, 136)
T3333:	132 = INIT1
T3334:	132 = NOR(134, 135)
T3335:	134 = INIT1
T3336:	134 = NOT(97)
T3337:	135 = INIT1
T3338:	135 = NOR(97, 93)
T3339:	136 = INIT1
T3340:	136 = NOR(134, 129)
T3341:	133 = INIT1
T3342:	133 = NOR(135, 136)
T3343:	134 = INIT1
T3344:	134 = NOR(121, 133)
T3345:	135 = INIT1
T3346:	135 = NOR(121, 134)
T3347:	136 = INIT1
T3348:	136 = NOR(133, 134)
T3349:	137 = INIT1
T3350:	137 = NOR(135, 136)
T3351:	135 = INIT1
T3352:	135 = NOR(137, 132)
T3353:	136 = INIT1
T3354:	136 = NOR(135, 137)
T3355:	137 = INIT1
T3356:	137 = NOR(135, 132)
T3357:	121 = INIT1
T3358:	121 = NOR(137, 136)
T3359:	132 = INIT1
T3360:	132 = NOR(134, 135)
T3361:	134 = INIT1
T3362:	134 = NOT(99)
T3363:	135 = INIT1
T3364:	135 = NOR(99, 93)
T3365:	136 = INIT1
T3366:	136 = NOR(134, 129)
T3367:	133 = INIT1
T3368:	133 = NOR(135, 136)
T3369:	134 = INIT1
T3370:	134 = NOR(122, 133)
T3371:	135 = INIT1
T3372:	135 = NOR(122, 134)
T3373:	136 = INIT1
T3374:	136 = NOR(133, 134)
T3375:	137 = INIT1
T3376:	137 = NOR(135, 136)
T3377:	135 = INIT1
T3378:	135 = NOR(137, 132)
T3379:	136 = INIT1
T3380:	136 = NOR(135, 137)
T3381:	137 = INIT1
T3382:	137 = NOR(135, 132)
T3383:	122 = INIT1
T3384:	122 = NOR(137, 136)
T3385:	132 = INIT1
T3386:	132 = NOR(134, 135)
T3387:	134 = INIT1
T3388:	134 = NOT(99)
T3389:	135 = INIT1
T3390:	135 = NOR(99, 93)
T3391:	136 = INIT1
T3392:	136 = NOR(134, 129)
T3393:	133 = INIT1
T3394:	133 = NOR(135, 136)
T3395:	134 = INIT1
T3396:	134 = NOR(123, 133)
T3397:	135 = INIT1
T3398:	135 = NOR(123, 134)
T3399:	136 = INIT1
T3400:	136 = NOR(133, 134)
T3401:	137 = INIT1
T3402:	137 = NOR(135, 136)
T3403:	135 = INIT1
T3404:	135 = NOR(137, 132)
T3405:	136 = INIT1
T3406:	136 = NOR(135, 137)
T3407:	137 = INIT1
T3408:	137 = NOR(135, 132)
T3409:	123 = INIT1
T3410:	123 = NOR(137, 136)
T3411:	132 = INIT1
T3412:	132 = NOR(134, 135)
T3413:	133 = INIT1
T3414:	133 = NOR(124, 93)
T3415:	134 = INIT1
T3416:	134 = NOR(124, 133)
T3417:	135 = INIT1
T3418:	135 = NOR(93, 133)
T3419:	136 = INIT1
T3420:	136 = NOR(134, 135)
T3421:	134 = INIT1
T3422:	134 = NOR(136, 132)
T3423:	135 = INIT1
T3424:	135 = NOR(134, 136)
T3425:	136 = INIT1
T3426:	136 = NOR(134, 132)
T3427:	124 = INIT1
T3428:	124 = NOR(136, 135)
T3429:	132 = INIT1
T3430:	132 = NOR(133, 134)
T3431:	133 = INIT1
T3432:	133 = NOR(125, 93)
T3433:	134 = INIT1
T3434:	134 = NOR(125, 133)
T3435:	135 = INIT1
T3436:	135 = NOR(93, 133)
T3437:	136 = INIT1
T3438:	136 = NOR(134, 135)
T3439:	134 = INIT1
T3440:	134 = NOR(136, 132)
T3441:	135 = INIT1
T3442:	135 = NOR(134, 136)
T3443:	136 = INIT1
T3444:	136 = NOR(134, 132)
T3445:	125 = INIT1
T3446:	125 = NOR(136, 135)
T3447:	132 = INIT1
T3448:	132 = NOR(133, 134)
T3449:	92  = INIT1
T3450:	92  = NOT(125)
T3451:	129 = INIT1
T3452:	129 = NOT(92)
T3453:	134 = INIT1
T3454:	134 = NOT(41)
T3455:	135 = INIT1
T3456:	135 = NOR(41, 92)
T3457:	136 = INIT1
T3458:	136 = NOR(134, 129)
T3459:	133 = INIT1
T3460:	133 = NOR(135, 136)
T3461:	134 = INIT1
T3462:	134 = NOR(99, 133)
T3463:	135 = INIT1
T3464:	135 = NOR(99, 134)
T3465:	136 = INIT1
T3466:	136 = NOR(133, 134)
T3467:	137 = INIT1
T3468:	137 = NOR(135, 136)
T3469:	135 = INIT1
T3470:	135 = NOR(137, 92)
T3471:	136 = INIT1
T3472:	136 = NOR(135, 137)
T3473:	137 = INIT1
T3474:	137 = NOR(135, 92)
T3475:	125 = INIT1
T3476:	125 = NOR(137, 136)
T3477:	132 = INIT1
T3478:	132 = NOR(134, 135)
T3479:	134 = INIT1
T3480:	134 = NOT(42)
T3481:	135 = INIT1
T3482:	135 = NOR(42, 92)
T3483:	136 = INIT1
T3484:	136 = NOR(134, 129)
T3485:	133 = INIT1
T3486:	133 = NOR(135, 136)
T3487:	134 = INIT1
T3488:	134 = NOR(126, 133)
T3489:	135 = INIT1
T3490:	135 = NOR(126, 134)
T3491:	136 = INIT1
T3492:	136 = NOR(133, 134)
T3493:	137 = INIT1
T3494:	137 = NOR(135, 136)
T3495:	135 = INIT1
T3496:	135 = NOR(137, 132)
T3497:	136 = INIT1
T3498:	136 = NOR(135, 137)
T3499:	137 = INIT1
T3500:	137 = NOR(135, 132)
T3501:	126 = INIT1
T3502:	126 = NOR(137, 136)
T3503:	132 = INIT1
T3504:	132 = NOR(134, 135)
T3505:	134 = INIT1
T3506:	134 = NOT(43)
T3507:	135 = INIT1
T3508:	135 = NOR(43, 92)
T3509:	136 = INIT1
T3510:	136 = NOR(134, 129)
T3511:	133 = INIT1
T3512:	133 = NOR(135, 136)
T3513:	134 = INIT1
T3514:	134 = NOR(127, 133)
T3515:	135 = INIT1
T3516:	135 = NOR(127, 134)
T3517:	136 = INIT1
T3518:	136 = NOR(133, 134)
T3519:	137 = INIT1
T3520:	137 = NOR(135, 136)
T3521:	135 = INIT1
T3522:	135 = NOR(137, 132)
T3523:	136 = INIT1
T3524:	136 = NOR(135, 137)
T3525:	137 = INIT1
T3526:	137 = NOR(135, 132)
T3527:	127 = INIT1
T3528:	127 = NOR(137, 136)
T3529:	132 = INIT1
T3530:	132 = NOR(134, 135)
T3531:	134 = INIT1
T3532:	134 = NOT(44)
T3533:	135 = INIT1
T3534:	135 = NOR(44, 92)
T3535:	136 = INIT1
T3536:	136 = NOR(134, 129)
T3537:	133 = INIT1
T3538:	133 = NOR(135, 136)
T3539:	134 = INIT1
T3540:	134 = NOR(128, 133)
T3541:	135 = INIT1
T3542:	135 = NOR(128, 134)
T3543:	136 = INIT1
T3544:	136 = NOR(133, 134)
T3545:	137 = INIT1
T3546:	137 = NOR(135, 136)
T3547:	135 = INIT1
T3548:	135 = NOR(137, 132)
T3549:	136 = INIT1
T3550:	136 = NOR(135, 137)
T3551:	137 = INIT1
T3552:	137 = NOR(135, 132)
T3553:	128 = INIT1
T3554:	128 = NOR(137, 136)
T3555:	132 = INIT1
T3556:	132 = NOR(134, 135)
T3557:	134 = INIT1
T3558:	134 = NOT(45)
T3559:	135 = INIT1
T3560:	135 = NOR(45, 92)
T3561:	136 = INIT1
T3562:	136 = NOR(134, 129)
T3563:	133 = INIT1
T3564:	133 = NOR(135, 136)
T3565:	134 = INIT1
T3566:	134 = NOR(130, 133)
T3567:	135 = INIT1
T3568:	135 = NOR(130, 134)
T3569:	136 = INIT1
T3570:	136 = NOR(133, 134)
T3571:	137 = INIT1
T3572:	137 = NOR(135, 136)
T3573:	135 = INIT1
T3574:	135 = NOR(137, 132)
T3575:	136 = INIT1
T3576:	136 = NOR(135, 137)
T3577:	137 = INIT1
T3578:	137 = NOR(135, 132)
T3579:	130 = INIT1
T3580:	130 = NOR(137, 136)
T3581:	132 = INIT1
T3582:	132 = NOR(134, 135)
T3583:	134 = INIT1
T3584:	134 = NOT(46)
T3585:	135 = INIT1
T3586:	135 = NOR(46, 92)
T3587:	136 = INIT1
T3588:	136 = NOR(134, 129)
T3589:	133 = INIT1
T3590:	133 = NOR(135, 136)
T3591:	134 = INIT1
T3592:	134 = NOR(131, 133)
T3593:	135 = INIT1
T3594:	135 = NOR(131, 134)
T3595:	136 = INIT1
T3596:	136 = NOR(133, 134)
T3597:	137 = INIT1
T3598:	137 = NOR(135, 136)
T3599:	135 = INIT1
T3600:	135 = NOR(137, 132)
T3601:	136 = INIT1
T3602:	136 = NOR(135, 137)
T3603:	137 = INIT1
T3604:	137 = NOR(135, 132)
T3605:	131 = INIT1
T3606:	131 = NOR(137, 136)
T3607:	132 = INIT1
T3608:	132 = NOR(134, 135)
T3609:	134 = INIT1
T3610:	134 = NOT(47)
T3611:	135 = INIT1
T3612:	135 = NOR(47, 92)
T3613:	136 = INIT1
T3614:	136 = NOR(134, 129)
T3615:	133 = INIT1
T3616:	133 = NOR(135, 136)
T3617:	134 = INIT1
T3618:	134 = NOR(103, 133)
T3619:	135 = INIT1
T3620:	135 = NOR(103, 134)
T3621:	136 = INIT1
T3622:	136 = NOR(133, 134)
T3623:	137 = INIT1
T3624:	137 = NOR(135, 136)
T3625:	135 = INIT1
T3626:	135 = NOR(137, 132)
T3627:	136 = INIT1
T3628:	136 = NOR(135, 137)
T3629:	137 = INIT1
T3630:	137 = NOR(135, 132)
T3631:	103 = INIT1
T3632:	103 = NOR(137, 136)
T3633:	132 = INIT1
T3634:	132 = NOR(134, 135)
T3635:	134 = INIT1
T3636:	134 = NOT(48)
T3637:	135 = INIT1
T3638:	135 = NOR(48, 92)
T3639:	136 = INIT1
T3640:	136 = NOR(134, 129)
T3641:	133 = INIT1
T3642:	133 = NOR(135, 136)
T3643:	134 = INIT1
T3644:	134 = NOR(104, 133)
T3645:	135 = INIT1
T3646:	135 = NOR(104, 134)
T3647:	136 = INIT1
T3648:	136 = NOR(133, 134)
T3649:	137 = INIT1
T3650:	137 = NOR(135, 136)
T3651:	135 = INIT1
T3652:	135 = NOR(137, 132)
T3653:	136 = INIT1
T3654:	136 = NOR(135, 137)
T3655:	137 = INIT1
T3656:	137 = NOR(135, 132)
T3657:	104 = INIT1
T3658:	104 = NOR(137, 136)
T3659:	132 = INIT1
T3660:	132 = NOR(134, 135)
T3661:	134 = INIT1
T3662:	134 = NOT(49)
T3663:	135 = INIT1
T3664:	135 = NOR(49, 92)
T3665:	136 = INIT1
T3666:	136 = NOR(134, 129)
T3667:	133 = INIT1
T3668:	133 = NOR(135, 136)
T3669:	134 = INIT1
T3670:	134 = NOR(105, 133)
T3671:	135 = INIT1
T3672:	135 = NOR(105, 134)
T3673:	136 = INIT1
T3674:	136 = NOR(133, 134)
T3675:	137 = INIT1
T3676:	137 = NOR(135, 136)
T3677:	135 = INIT1
T3678:	135 = NOR(137, 132)
T3679:	136 = INIT1
T3680:	136 = NOR(135, 137)
T3681:	137 = INIT1
T3682:	137 = NOR(135, 132)
T3683:	105 = INIT1
T3684:	105 = NOR(137, 136)
T3685:	132 = INIT1
T3686:	132 = NOR(134, 135)
T3687:	134 = INIT1
T3688:	134 = NOT(50)
T3689:	135 = INIT1
